label,year,reporter_info,status,case_categories,jurisdictions,principal_laws,summary,at_issue,case_documents,url
Communication to the OECD’s Arrangement on efforts to expand the Coal-Fired Electricity Generation Sector,2021,AL OTH 249/2021,Pending,"Suits against governments, Trade and Investment, Climate-justified measures, Suits against governments, Human Rights, Youth/Children, Suits against governments, Human Rights, Other","United Nations, UN Special Procedures, United Nations Special Rapporteurs","Netherlands, ICESCR, Netherlands, ICCPR, Netherlands, Universal Declaration of Human Rights","On October 20, 2021, the UN Special Procedure on hazardous wastes, Mr. Orellana, and human rights and the environment, Mr. Boyd, issued a communication Participants to the OECD’s Arrangement on Officially Supported Credit Arrangement on their efforts to expand the Coal-Fired Electricity Generation Sector Understanding (currently, Australia, Canada, the European Union, Japan, Korea, New Zealand, Norway, Switzerland, Turkey, the United Kingdom, and the United States). They note that mining and combustion of thermal coal make an outsized contribution to the aggravation and causation of the global climate crisis, with devasting effects on the ‘effective enjoyment of rights to life, health, and a healthy environment’.","Special Procedures ask Participants to the OECD’s Arrangement on Officially Supported Credit Arrangement to commit to immediately stopping to build and support new coal-fired power plants, and require existing coal fired plants to terminate by 2030 in high-income nations, and 2040 in middle income nations.","https://climatecasechart.com/wp-content/uploads/non-us-case-documents/2021/20211020_AL-OTH-2492021_complaint.pdf, https://climatecasechart.com/wp-content/uploads/non-us-case-documents/2021/20211217_AL-OTH-2492021_reply.pdf",https://climatecasechart.com/non-us-case/communication-to-the-oecds-arrangement-on-efforts-to-expand-the-coal-fired-electricity-generation-sector
Greentech and Novenergia v. Italy,2015,,Decided,"Suits against governments, Trade and Investment, Rollback of climate-justified measures","Arbitral Tribunal, Stockholm Chamber of Commerce","International Law, Energy Charter Treaty","In 2015, two companies based in Denmark and Luxembourg invested in photovoltaic (PV) plants across Italy. The plants benefited from a feed-in tariff scheme, which was originally intended to run for a period of 20 years from each PV plant's connection to the grid. In 2015, a new Decree Law came into force which modified the amount and duration of incentive tariffs. The claimants alleged that this constituted a violation of the fair and equal treatment clause of the Energy Charter Treaty and claimed compensation.",Claims arising out of a series of governmental decrees to prematurely cut tariff incentives for photovoltaic plants.,https://climatecasechart.com/wp-content/uploads/non-us-case-documents/2018/20181213_13735_decision.pdf,https://climatecasechart.com/non-us-case/greentech-and-novenergia-v-italy
GreenX Metals Limited (formerly Prairie Mining Limited) v. Republic of Poland,2020,,Decided,"Suits against governments, Trade and Investment, Climate-justified measures","Arbitral Tribunal, Permanent Court of Arbitration","International Law, Energy Charter Treaty","In 2020, GreenX Metals Limited (formerly Prairie Mining Limited), an Australian mining company, initiated arbitration proceedings against Poland. The claim was filed under the Energy Charter Treaty (ECT) and the bilateral investment treaty (BIT) between Poland and Australia. GreenX Metals alleges that Polish authorities have unfairly obstructed the development of its two coal-mining projects (i.e., Jan Karski and Debiensko), seeking over USD 1 billion in damages.",Claim arising out of certain measures taken by the Government of Poland which hindered the development of Claimant's Jan Karski and Debiensko mines in Poland,https://climatecasechart.com/wp-content/uploads/non-us-case-documents/2024/20241008_84168_press-release-1.pdf,https://climatecasechart.com/non-us-case/greenx-metals-limited-formerly-prairie-mining-limited-v-republic-of-poland
Isolux v. Spain,2013,,Decided,"Suits against governments, Trade and Investment, Rollback of climate-justified measures","Arbitral Tribunal, Stockholm Chamber of Commerce","International Law, Energy Charter Treaty","In October 2013, Isolux filed a claim against Spain alleging a violation of the fair and equal treatment provisions of the Energy treaty Charter by the Government of Spain. The claim arose as a result of measures, implemented in 2010, which introduced a number of changes to a previous incentive regime for renewable energy established in 2007, and included a 7 per cent tax on power generators’ revenues and a reduction in subsidies for renewable energy producers. In 2019, the tribunal found that because Isolux suffered no severe or radical loss, Spain did not expropriate its investment.","Claims arising out of a series of energy reforms undertaken by the Government affecting the renewables sector, including a 7 per cent tax on power generators’ revenues and a reduction in subsidies for renewable energy producers.",https://climatecasechart.com/wp-content/uploads/non-us-case-documents/2016/20160712_13743_decision.pdf,https://climatecasechart.com/non-us-case/isolux-v-spain
ClientEarth and Others v. Commission,2023,T-215/23,Pending,"Suits against governments, Trade and Investment, Climate-justified measures","European Union, General Court (known as Court of First Instance before 2010)","European Union, Secondary Law, Regulations, Taxonomy Regulation 2020/852, European Union, Secondary Law, Regulations, Commission Delegated Regulation 2022/1214","With the Taxonomy Regulation 2020/852, the European Union established the criteria for determining whether an economic activity qualifies as environmentally sustainable for the purposes of establishing the degree to which an investment is environmentally sustainable, with the aim of facilitating sustainable investment.",Whether the inclusion by the Commission of fossil gas in the Taxonomy Regulation is unlawful.,No case documents are available.,https://climatecasechart.com/non-us-case/clientearth-and-others-v-commission
Biostratum Distribuidora de Combustíveis SA v. Federal Union (Acquisition of CBios),2020,5054992-22.2020.4.04.7000,Decided,,"Brazil, Paraná (PR), Paraná Federal Court","International Law, UNFCCC, Paris Agreement, Brazil, National Biofuels Policy (Federal Law 13.576/2017), Brazil, National Tax Code (Federal Law 5.172/1966), Brazil, National Biofuels Policy (RenovaBio)","This is an action filed as an Ordinary Action, with a request for injunctive relief, by Biostratum Distribuidora de Combustíveis SA against the Federal Government, aiming at the removal of the mandatory target for the acquisition of Decarbonization Credits (CBios) that was imposed on it, equivalent to 9,959 CBios until the share distribution.",Removal of mandatory target for the acquisition of Decarbonization Credits,"https://climatecasechart.com/wp-content/uploads/non-us-case-documents/2021/20210801_5054992-22.2020.4.04.7000_decision.pdf, https://climatecasechart.com/wp-content/uploads/non-us-case-documents/2021/20210301_5054992-22.2020.4.04.7000_appeal.pdf, https://climatecasechart.com/wp-content/uploads/non-us-case-documents/2020/20201101_5054992-22.2020.4.04.7000_decision.pdf, https://climatecasechart.com/wp-content/uploads/non-us-case-documents/2020/20201026_5054992-22.2020.4.04.7000_petition.pdf, https://climatecasechart.com/wp-content/uploads/non-us-case-documents/2024/20240215_5054992-22.2020.4.04.7000_judgment.pdf",https://climatecasechart.com/non-us-case/biostratum-distribuidora-de-combustiveis-sa-v-federal-unionacquisition-of-cbios
Greenpeace and Others v. Commission,2023,T-214/23,Pending,"Suits against governments, Trade and Investment, Climate-justified measures","European Union, General Court (known as Court of First Instance before 2010)","European Union, Secondary Law, Regulations, Taxonomy Regulation 2020/852, European Union, Secondary Law, Regulations, Commission Delegated Regulation 2022/1214","With the Taxonomy Regulation 2020/852, the European Union established the criteria for determining whether an economic activity qualifies as environmentally sustainable for the purposes of establishing the degree to which an investment is environmentally sustainable, with the aim of facilitating sustainable investment.",Whether the inclusion by the Commission of gas and nuclear in the Taxonomy Regulation is unlawful.,No case documents are available.,https://climatecasechart.com/non-us-case/greenpeace-and-others-v-commission
ClientEarth and others v. Flemish Region,2022,,Decided,"Suits against governments, Trade and Investment, Environmental permitting, Suits against corporations, individuals, Corporations, Environmental assessment and permitting","Belgium, Flanders, Environmental Ministry of Flanders",,"In 2021, Flemish authorities announced their approval of petrochemicals giant INEOS’ plastics plant project ('Project One') in the Port of Antwerp, Belgium.",Whether the approval by the Flemish authorities of INEOS' Project One is illegal under EU and Belgium laws due to INEOS' inadequate assessment of how the project would impact the climate.,https://climatecasechart.com/wp-content/uploads/non-us-case-documents/2023/20230720_17697_press-release-1.pdf,https://climatecasechart.com/non-us-case/clientearth-v-flemish-region
DS-412: Canada — Certain Measures Affecting the Renewable Energy Generation Sector,2010,DS-412,Decided,"Suits against governments, Trade and Investment, Climate-justified measures","World Trade Organization, WTO Dispute Settlement Body","International Law, Agreement on Subsidies and Countervailing Measures (SCM Agreement), International Law, Agreement on Trade-Related Investment Measures (TRIMs Agreement), International Law, General Agreement on Tariffs and Trade 1994","The parties:
Complainant:	Japan
Respondent:	Canada
Third Parties:	Australia; Brazil; China; El Salvador; European Union; Honduras; India; Saudi Arabia, Kingdom of; Korea, Republic of; Mexico; Norway; Chinese Taipei; United States",Whether Canada’s feed-in tariff program for electricity produced from renewable energy represents a violation of the national treatment provisions due to its local content requirements and whether it represents a prohibited subsidy.,"https://climatecasechart.com/wp-content/uploads/non-us-case-documents/2010/20100916_DS-412_application.pdf, https://climatecasechart.com/wp-content/uploads/non-us-case-documents/2010/20100928_DS-412_na.pdf, https://climatecasechart.com/wp-content/uploads/non-us-case-documents/2010/20100929_DS-412_na.pdf, https://climatecasechart.com/wp-content/uploads/non-us-case-documents/2010/20100810_DS-412_na.pdf, https://climatecasechart.com/wp-content/uploads/non-us-case-documents/2011/20110607_DS-412_na.pdf, https://climatecasechart.com/wp-content/uploads/non-us-case-documents/2012/20121219_DS-412_na.pdf, https://climatecasechart.com/wp-content/uploads/non-us-case-documents/2013/20130506_DS-412_na.pdf",https://climatecasechart.com/non-us-case/ds-412-canada-certain-measures-affecting-the-renewable-energy-generation-sector
RWE v. the Netherlands,2021,ICSID Case No. ARB/21/4,Decided,"Suits against governments, Trade and Investment, Climate-justified measures","Arbitral Tribunal, International Centre for Settlement of Investment Disputes","International Law, Energy Charter Treaty","On February 2, 2021, German utility RWE filed suit against the Netherlands government under the Energy Charter Treaty alleging that the government failed to allow adequate time and resources to transition away from coal. The Energy Charter Treaty, signed by 55 Parties, aims to protect foreign investments in energy and allows foreign investors to to claim compensation through arbitration for unfair losses due to government regulation. The Netherlands government plans to phase out all coal-fired power plants by 2030. According to news reports, RWE alleges that this policy does not include adequate compensation to phase out or transition to biomass its coal-fired Eemshaven power plant in the Netherlands.",Whether the Netherlands' plan to phase out coal by 2030 violates the Energy Charter Treaty.,https://climatecasechart.com/wp-content/uploads/non-us-case-documents/2024/20240112_ICSID-Case-No.-ARB214_order.pdf,https://climatecasechart.com/non-us-case/rwe-v-kingdom-of-the-netherlands
DS-600: European Union and Certain Member States – Certain Measures Concerning Palm Oil and Oil Palm Crop-Based Biofuels,2021,DS-600,Pending,"Suits against governments, Trade and Investment, Climate-justified measures","World Trade Organization, WTO Dispute Settlement Body","European Union, Secondary Law, Directives, Directive 2018/2001, European Union, Secondary Law, Regulations, Regulation 2019/807, International Law, Agreement on Subsidies and Countervailing Measures (SCM Agreement), International Law, General Agreement on Tariffs and Trade 1994, International Law, Technical Barriers to Trade Agreement (TBT Agreement)","Complainant: Malaysia
Respondent: European Union; France; Lithuania
Third Parties: Argentina; Australia; Brazil; Canada; China; Colombia; Costa Rica; Ecuador; El Salvador; Guatemala; Honduras; India; Indonesia; Japan; Korea, Republic of; Norway; Russian Federation; Saudi Arabia, Kingdom of; Singapore; Thailand; Turkey; Ukraine; United Kingdom; United States.",Whether EU’s renewable energy measures in respect of biofuels are discriminatory against palm-oil-based biofuels.,"https://climatecasechart.com/wp-content/uploads/non-us-case-documents/2021/20210119_DS-600_application.pdf, https://climatecasechart.com/wp-content/uploads/non-us-case-documents/2021/20210201_DS-600_na.pdf, https://climatecasechart.com/wp-content/uploads/non-us-case-documents/2021/20210202_DS-600_na.pdf, https://climatecasechart.com/wp-content/uploads/non-us-case-documents/2021/20210201_DS-600_na-2.pdf, https://climatecasechart.com/wp-content/uploads/non-us-case-documents/2021/20210202_DS-600_na-2.pdf, https://climatecasechart.com/wp-content/uploads/non-us-case-documents/2021/20210310_DS-600_na.pdf, https://climatecasechart.com/wp-content/uploads/non-us-case-documents/2021/20210416_DS-600_na.pdf, https://climatecasechart.com/wp-content/uploads/non-us-case-documents/2021/20210730_DS-600_na.pdf, https://climatecasechart.com/wp-content/uploads/non-us-case-documents/2021/20211130_DS-600_na.pdf, https://climatecasechart.com/wp-content/uploads/non-us-case-documents/2024/20240305_DS-600_decision.pdf",https://climatecasechart.com/non-us-case/ds-600-european-union-and-certain-member-states-certain-measures-concerning-palm-oil-and-oil-palm-crop-based-biofuels
"Global Feedback v Secretary of State for Environment, Food and Rural Affairs (UK-Australia Free Trade Agreement)",2023,,Pending,,"United Kingdom, England and Wales, High Court of Justice",,"Global Feedback is a campaigning organisation concerned with a sustainable food system. In July 2023, it brought a challenge on public law grounds against the UK government’s assessment of the environmental impacts of the UK-Australia Free Trade Agreement. The free trade deal gives Australian producers significant access to the UK market to sell meat.",Whether the environmental assessment of the UK Australia Free Trade Agreement is legal.,https://climatecasechart.com/wp-content/uploads/non-us-case-documents/2023/20230707_22362_press-release.pdf,https://climatecasechart.com/non-us-case/global-feedback-v-secretary-of-state-for-environment-food-and-rural-affairs-uk-australia-free-trade-agreement
Whitehaven Coal Pty Ltd v Australian Conservation Foundation & Ors,2024,,Pending,"Suits against governments, Environmental assessment and permitting, Natural resource extraction, Suits against governments, Trade and Investment, Environmental permitting","Australia, Queensland, Land Court","Australia, Environmental Protection Act 1994 (Queensland), Australia, Mineral Resources Act 1989 (Queensland)","The Australian Conservation Foundation (ACF) and Mackay Conservation Group (MCG) have commenced legal proceedings in the Queensland Land Court, seeking the refusal of Whitehaven Coal’s Winchester South thermal and metallurgical coal mine, proposed for the Bowen Basin. ACF and MCG will argue that the court should recommend that no mining lease or environmental authority be granted for the Winchester South project – Australia’s largest proposed new coal project – due to its significant environmental and human rights impacts.",Should the Land Court recommend refusal of Whitehaven's Mining lease and Environmental Authority applications after considering the climate impacts and impacts on human rights of extracting and burning the coal?,No case documents are available.,https://climatecasechart.com/non-us-case/whitehaven-coal-pty-ltd-v-australian-conservation-foundation-ors
Greenpeace v. North Sea Transition Authority,2022,,Pending,"Suits against governments, Trade and Investment, Environmental permitting","United Kingdom, England and Wales, High Court of Justice","United Kingdom, Regulation 16 of the Offshore Petroleum Production and Pipelines (Assessment of Environmental Effects) Regulations 1999","In July 2022, Greenpeace filed a legal challenge against the North Sea Transition Authority’s (previously the Oil and Gas Authority) approval of the Jackdaw gas field development project (Jackdaw). The Jackdaw field is located in the North Sea, off the east coast of Scotland, and is owned by BG International, an affiliate of Shell UK Limited. The North Sea Transition Authority (NSTA) is a private company owned by the Secretary of State for Business, Energy and Industrial Strategy (BEIS).","Whether the UK government correctly issued its approval for the development of an oil and gas field (""Jackdaw"") in the North Sea.",https://climatecasechart.com/wp-content/uploads/non-us-case-documents/2023/20231003_18236_na.pdf,https://climatecasechart.com/non-us-case/greenpeace-v-north-sea-transition-authority
The Netherlands v. RWE and Uniper (Anti-Arbitration Injunctions),2021,,Decided,"Suits against governments, Trade and Investment, Climate-justified measures, Suits against governments, Energy and power","Germany, Higher Regional Court of Cologne","International Law, Energy Charter Treaty","In February and April 2021, RWE and Uniper commenced ICSID arbitration proceedings against the Kingdom of the Netherlands (see RWE v. Netherlands), alleging that its decision to phase out all coal-fired power plants by 2030 violates the Netherlands’ obligations under the Energy Charter Treaty (ECT).",Whether intra-EU arbitrations under the Energy Charter Treaty are admissible.,No case documents are available.,https://climatecasechart.com/non-us-case/netherlands-v-rwe-and-uniper-anti-arbitration-injunctions-before-the-higher-regional-court-of-cologne
Ascent v Slovenia,2022,ICSID Case No. ARB/22/21,Pending,"Suits against governments, Trade and Investment, Climate-justified measures","Arbitral Tribunal, International Centre for Settlement of Investment Disputes","International Law, Energy Charter Treaty","Ascent, a UK energy company, initiated an arbitration proceedings against Slovenia, in the aftermath of the Slovenian Environmental Agency request to Ascent to undertake an environmental impact assessment (“EIA”) before proceeding with the development of the Petišovci oil and gas field. According to Ascent, the EIA was not required and never had been previously under Slovenian law. It is alleged that this requirement affected Ascent’s investment since the amount of gas produced by the field was very significantly reduced, resulting in a significant loss of the Investors’ revenues.",Whether Slovenia’s decision to conduct an environmental impact assessment of Ascent’s proposed fracking projected has destroyed the value of Ascent’s investments in Slovenia energy sector,"https://climatecasechart.com/wp-content/uploads/non-us-case-documents/2022/20220815_ICSID-Case-No.-ARB2221_press-release-1.pdf, https://climatecasechart.com/wp-content/uploads/non-us-case-documents/2023/20230922_ICSID-Case-No.-ARB2221_press-release-1.pdf, https://climatecasechart.com/wp-content/uploads/non-us-case-documents/2020/20200723_ICSID-Case-No.-ARB2221_points-of-claim-1.pdf",https://climatecasechart.com/non-us-case/ascent-v-slovania
CEF Energia v. Italy,2015,SCC Case No. 158/2015,Decided,"Suits against governments, Trade and Investment, Rollback of climate-justified measures","Arbitral Tribunal, Stockholm Chamber of Commerce","International Law, Energy Charter Treaty","CEF Energia, a Dutch company, filed a claim against the Italian government arising out of changes to Italy's incentive schemes for renewable energy. The company had invested in three solar energy installations in Italy under the terms of the earlier version of the scheme. The company alleged that the changes to the scheme violated the fair and equal treatment provisions of the Energy Charter Treaty. Despite Italy's claims that the company's own due diligence reports showed that it was aware of the potential for changes to the scheme, the majority of the tribunal held that Italy's actions had breached a legitimate expectation on the part of the company and awarded the company USD $10.7 million in damages.",Claims arising out of a series of governmental decrees to cut tariff incentives for some solar power projects.,https://climatecasechart.com/wp-content/uploads/non-us-case-documents/2019/20190116_SCC-Case-No.-1582015_decision.pdf,https://climatecasechart.com/non-us-case/cef-energia-v-italy
Lone Pine v. Canada,2013,ICSID Case No. UNCT/15/2,Decided,"Suits against governments, Trade and Investment, Climate-justified measures","Arbitral Tribunal, International Centre for Settlement of Investment Disputes","International Law, NAFTA (North American Free Trade Agreement)","In 2013, Lone Pine Resources, a company headquartered in Canada but registered in the US, brought a claim alleging breaches of Article 117 of NAFTA caused by the ""the arbitrary, capricious, and illegal revocation of the Enterprise’s valuable right to mine for oil and gas under the St. Lawrence River."" This followed the Quebec Government's revocation of all permits for oil and gas exploration in the St lawrence River Basin, which was associated with a moratorium on fracking. The company is seeking compensation both for monies already invested and for anticipated future profits.",Claims arising out of the revocation by the Government of Quebec of claimant's permits for petroleum and natural gas exploration in the Utica shale gas basin.,"https://climatecasechart.com/wp-content/uploads/non-us-case-documents/2013/20130906_ICSID-Case-No.-UNCT152_complaint-1.pdf, https://climatecasechart.com/wp-content/uploads/non-us-case-documents/2022/20221121_ICSID-Case-No.-UNCT152_decision.pdf",https://climatecasechart.com/non-us-case/lone-pine-v-canada
