label,year,reporter_info,status,case_categories,jurisdictions,principal_laws,summary,at_issue,case_documents,url
Brasilcom et. al. v. Ministério de Minas e Energia,2020,MS nº 27093 / DF (2020/0306047-4) / Mandado de Segurança 1062057-56.2020.4.01.3400,Decided,,"Brazil, Superior Court of Justice","Brazil, National Biofuels Policy (RenovaBio)","On November 18, 2020, the Association of Fuel Distributors (Brasilcom) filed a writ of mandamus with the aim of reducing by 25% the acquisition targets of 14.5 million annual Decarbonization Credits (CBios) for fuel distributors corresponding to the sales of ethanol and biodiesel by mills and distilleries. The writ intended to modify the individual targets for the distributors in the RenovaBio (National Biofuels Policy, Law No. 13.576/2017) program. Renovabio has the goal of contributing to the targets under the Paris Agreement, expanding biofuels in the energy matrix, ensuring the predictability of the fuel market, inducing gains in energy efficiency and reducing GHG emissions in the production, sale and use of biofuels. The annual national decarbonization targets for the fuel sector are RenovaBio’s main instrument. In 2019, the individual mandatory measures for the distributors of fuel were defined in ANP Resolution No. 791/2019.",Whether to allow for further reduction of decarbonization targets due to the Covid-19 pandemic.,"https://climatecasechart.com/wp-content/uploads/non-us-case-documents/2020/20201118_MS-no-27093-DF-20200306047-4-Mandado-de-Seguranca-1062057-56.2020.4.01.3400_petition-1.pdf, https://climatecasechart.com/wp-content/uploads/non-us-case-documents/2020/20201205_MS-no-27093-DF-20200306047-4-Mandado-de-Seguranca-1062057-56.2020.4.01.3400_decision-1.pdf, https://climatecasechart.com/wp-content/uploads/non-us-case-documents/2020/20201210_MS-no-27093-DF-20200306047-4-Mandado-de-Seguranca-1062057-56.2020.4.01.3400_decision-1.pdf",https://climatecasechart.com/non-us-case/brasilcom-et-al-v-ministerio-de-minas-e-energia
"In the Matter of the Greenhouse Gas Pollution Pricing Act, SC 2018, c. 12",2019,1903-0157-AC,Decided,"Suits against governments, GHG emissions reduction and trading, Other","Canada, Alberta Court of Appeal","Canada, Constitution of Canada","On February 24, 2020 the Court of Appeal of Alberta found Canada's carbon pricing act unconstitutional. The court reasoned that the act was not a proper exercise of the national government's authority.",Whether Canada's carbon pricing act is unconstitutional.,https://climatecasechart.com/wp-content/uploads/non-us-case-documents/2020/20200224_1903-0157-AC_opinion.pdf,https://climatecasechart.com/non-us-case/in-the-matter-of-the-greenhouse-gas-pollution-pricing-act-sc-2018-c-12
Lípidos Santiga v. Commission,2019,,Decided,"Suits against governments, GHG emissions reduction and trading, Other","European Union, European Court of Justice","European Union, Secondary Law, Directives, Directive 2018/2001, European Union, Secondary Law, Regulations, Regulation 2019/807","This case relates to the European Union’s directives on renewable sources of fuel. In 2018, the EU adopted Directive (EU) 2018/2001. The directive relates to the EU’s goal of 32% share of renewable energy by 2030. In the transport sector, Member States must require fuel suppliers to supply a minimum of 14% of the energy consumed as renewable energy by 2030. The Regulation (EU) 2019/807 of 13 March 2019 , adopted in 2019, defined, among other things, how to calculate high indirect land-use change-risk (high ILUC-risk) feedstock for biofuels, bioliquids and biomass fuels. In the appellant’s view, the regulation effectively excluded palm oil biofuels from the EU market.",Whether a EU regulation on renewable energy unlawfully excluded palm oil for biofuels from the EU market.,https://climatecasechart.com/wp-content/uploads/non-us-case-documents/2021/20211021_14759_decision.pdf,https://climatecasechart.com/non-us-case/lipidos-santiga-v-commission
"In re Electra de Viesgo Distribución S.L., Judgment No. 6846/2009 of July 15, 2009",,Appeal No. 119/2004,Granted,"Suits against governments, GHG emissions reduction and trading, EU ETS","Spain, Supreme Court of Spain, Administrative Litigation Division","Spain, Royal Decree Law 1866/2004 of September 6","Electra de Viesgo Distribución S.L. and Viesgo Generación S.L. (also known as E.On Distribución S.L. and E. On Generación S.L.) brought suit challenging the individual assignment of emissions credits contained in Royal Decree 1866/2004 of September 6, 2004, which approved the National Plan for Assignment of emissions credits 2005-2007.  The decree, argued the plaintiffs, did not contain a savings clause applicable to the electricity sector (as it did for the industrial sector) to allow the adjustment of the credits assigned to facilities for which the reference period for the overall calculation of credits (the years 2002-2000) was not representative of historic emissions.  Electra argued that not allowing otherwise eligible facilities to apply for adjustment of credits in accordance with their truly representative emissions periods resulted in a violation of the principle of equality.  The Court found in favor of plaintiffs, inasmuch as the Administration did not provide a justification for not providing a savings clause to the electricity sector, and declared null and void section 4.A.a. of the National Plan.",Sought annulment of provision in National Allocation Plan,https://climatecasechart.com/wp-content/uploads/non-us-case-documents/2009/20090715_Appeal-No.-1192004_judgment.pdf,https://climatecasechart.com/non-us-case/in-re-electra-de-viesgo-distribucion-sl-judgment-no-68462009-of-july-15-2009
ABRAGET vs. State of Rio de Janeiro (Decree on Energy Compensation Mechanism),2013,0282326-74.2013.8.19.0001,Decided,"Suits against governments, Energy and power, Suits against governments, GHG emissions reduction and trading, Other","Brazil, Rio de Janeiro, Rio de Janeiro State Court","Brazil, Federal Constitution, art. 225, Brazil, State Decree RJ 41.318/2008, Brazil, National Environmental Policy (Federal Law 6 938/81), Brazil, CONAMA Resolution 237/1997, Brazil, National Climate Change Policy (Law No. 12187 of 2009)","On August 12, 2013, ABRAGET filed a claim with a request for an injunction against the State of Rio de Janeiro. The plaintiff challenges State Decree 41,318/2008, which establishes the Energy Compensation Mechanism (ECM) as part of the Greenhouse Gas Emission Abatement Plan, in order to combat global warming and strengthen the energy supply in the State.",Whether a state energy compensation mechanism imposes an excessive legal burden on energy companies.,"https://climatecasechart.com/wp-content/uploads/non-us-case-documents/2013/20130813_0282326-74.2013.8.19.0001_petition.pdf, https://climatecasechart.com/wp-content/uploads/non-us-case-documents/2013/20131101_0282326-74.2013.8.19.0001_appeal.pdf, https://climatecasechart.com/wp-content/uploads/non-us-case-documents/2015/20150301_0282326-74.2013.8.19.0001_decision.pdf, https://climatecasechart.com/wp-content/uploads/non-us-case-documents/2017/20170201_0282326-74.2013.8.19.0001_judgment.pdf, https://climatecasechart.com/wp-content/uploads/non-us-case-documents/2017/20170901_0282326-74.2013.8.19.0001_judgment.pdf, https://climatecasechart.com/wp-content/uploads/non-us-case-documents/2018/20180801_0282326-74.2013.8.19.0001_judgment.pdf",https://climatecasechart.com/non-us-case/abraget-vs-state-of-rio-de-janeiro-state-decree-establishing-the-energy-compensation-mechanism
In re River District Energy Limited Partnership,,[2011] Carswell BC 3538,Certificate granted,,"Canada, British Columbia, Utilities Commission","Canada, Utilities Commission Act (British Columbia)","British Columbia Utilities Commission granted a Certificate of Public Convenience and Necessity (CPCN) to River District Energy Limited Partnership (RDE), allowing RDE to construct and operate a District Energy Utility in southeast Vancouver. The project is found to serve the public interest and align with British Columbia’s energy objectives. The initial energy source will be natural gas; RDE plans to begin using waste heat generated by the Burnaby Waste to Energy Facility beginning in 2016. However, RDE is under no binding legal obligation to shift to a renewable energy source. The Commission is confident in the planned facility’s potential to reduce greenhouse gas emissions over its lifetime, despite a projected 40% increase in GHG emissions by RDE over the first four years of the project.",Certificate of Public Convenience and Necessity sought,https://climatecasechart.com/wp-content/uploads/non-us-case-documents/2011/20111219_2011-Carswell-BC-3538_decision.pdf,https://climatecasechart.com/non-us-case/in-re-river-district-energy-limited-partnership
Buzzi Unicem SpA v. Commission of the European Communities,,[2008] Case T-241/07,Application dismissed,"Suits against governments, GHG emissions reduction and trading, EU ETS","European Union, General Court (known as Court of First Instance before 2010)","European Union, Secondary Law, Directives, 2003/87/EC",Applicant Italian cement producer sought to annual a Commission decision rejecting in part the Italian Phase II national allocation plan (NAP).  The court dismissed the action as inadmissible because the Applicant was unable to demonstrate that it was directly and individually affected.,Sought annulment of European Commission's decision rejecting in part phase II of Italy's National Allocation Plan for emissions,https://climatecasechart.com/wp-content/uploads/non-us-case-documents/2015/20151015_2008-Case-T-24107_opinion.pdf,https://climatecasechart.com/non-us-case/buzzi-unicem-spa-v-commission-of-the-european-communities
Min-A Park v. South Korea,2023,"2023Hunma846, Sejong Youn (Plan 1.5)",Pending,,"South Korea, Constitutional Court","South Korea, Carbon Neutrality Act, South Korea, Constitution","In July 2023, 51 Korean nationals filed a constitutional claim against the South Korean Government for failing to provide constitutionally required protection of the fundamental rights from the threat of climate change by establishing an inadequate implementation plan for the 2030 NDC, the 1st Carbon Neutrality Plan (“Plan”). The claimed rights include right to life, right to pursue happiness, right to general freedom, right to property, right to healthy environment, State’s obligation to provide its people from disasters, and State’s obligation to protect the fundamental rights of the people.",Whether the implementation plan for the NDC provides constitutionally required protection of the fundamental rights of the plaintiffs from the threat of climate change.,https://climatecasechart.com/wp-content/uploads/non-us-case-documents/2023/20230706_2023Hunma846-Sejong-Youn-Plan-1.5_complaint-1.pdf,https://climatecasechart.com/non-us-case/min-a-park-v-south-korea
Movement v. Waka Kotahi,,[2023] NZHC 342,Decided,,"New Zealand, High Court of New Zealand","New Zealand, Land Transport Management Act 2003","The respondent, Waka Kotahi, is New Zealand’s national transport agency. The petitioner challenged a decision by Waka Kotahi to approve a National Land Transport Programme 2021-2024 (NLTP), a three-year plan which sets out how the agency will allocate its resources. Movement argued that the approval of the plan was unlawfully inconsistent with New Zealand legislation (the Land Transport Management Act 2003 (LTMA)), as well as New Zealand’s Government Policy Statement on land transport, another regulatory instrument which is legally binding on Waka Kotahi. Movement consequently sought directions from the Court for the NLTP to be reconsidered, as well as guidance to inform the preparation of future NLTPs. The Court rejected all three of the applicant’s causes of action discussed below, and upheld the NLTP.","Whether, in its preparation of a National Land Transport Programme (NLTP), New Zealand’s national land transport agency had lawfully complied with its procedural obligations under national legislation and high-level policy, including an alleged obligation to put in place quantitative measures for emissions.",https://climatecasechart.com/wp-content/uploads/non-us-case-documents/2023/20230301_2023-NZHC-342_decision.pdf,https://climatecasechart.com/non-us-case/movement-v-waka-kotahi
Non-compliance Procedure of Croatia under the Kyoto Protocol,2009,CC-2009-1-8/Croatia/EB,Decided,"Suits against governments, GHG emissions reduction and trading, Kyoto Protocol","United Nations, United Nations Framework Convention on Climate Change","International Law, Kyoto Protocol Compliance Tribunals, Kyoto Protocol, International Law, UNFCCC, Kyoto Protocol","The question of implementation arose in relation to Croatia’s assigned amount and its commitment period reserve, and whether a decision taken under the Convention allowed Croatia to issue more credits under the Kyoto Protocol.",Question of implementation relating to the calculation of Croatia’s assigned amount and commitment period reserve,"https://climatecasechart.com/wp-content/uploads/non-us-case-documents/2009/20090828_CC-2009-1-8CroatiaEB-_na.pdf, https://climatecasechart.com/wp-content/uploads/non-us-case-documents/2009/20091126_CC-2009-1-8CroatiaEB-_na.pdf, https://climatecasechart.com/wp-content/uploads/non-us-case-documents/2011/20111229_CC-2009-1-8CroatiaEB-_na.pdf, https://climatecasechart.com/wp-content/uploads/non-us-case-documents/2012/20120218_CC-2009-1-8CroatiaEB-_na.pdf",https://climatecasechart.com/non-us-case/non-compliance-procedure-of-croatia-under-the-kyoto-protocol
Afton Chemical Limited v. Secretary of State for Transport,,[2010] Case C-343/09,Application dismissed,"Suits against governments, GHG emissions reduction and trading, EU ETS","European Union, European Court of Justice","European Union, Secondary Law, Directives, 98/70/EC, European Union, Secondary Law, Directives, 2009/30/EC","Afton Chemical, a British MMT producer, challenged the EU limits and labeling requirements for the use of the metallic fuel additive MMT.  The European Court of Justice ruled that the limit on MMT, adopted in the revised fuel quality Directive 98/70/EC, does not violate the precautionary principle and the principles on equal treatment and proportionality.  The court concluded that the EC places significant weight on the protection of human health and the environment.  Reducing the health and environmental risks associated with MMT use outweighs the economic interests of Afton Chemical.",MMT producer challenged limits and labeling requirements imposed on MMT,https://climatecasechart.com/wp-content/uploads/non-us-case-documents/2010/20100506_2010-Case-C-34309_judgment.pdf,https://climatecasechart.com/non-us-case/afton-chemical-limited-v-secretary-of-state-for-transport
Schaefer Kalk GmbH & Co. KG v. Germany,2016,Case C-460/15,Decided,"Suits against governments, GHG emissions reduction and trading, EU ETS","European Union, European Court of Justice","European Union, Secondary Law, Regulations, Commission Regulation 601/2012, European Union, Secondary Law, Directives, 2003/87/EC","A German company operating a facility covered by the EU carbon emissions trading system argued that carbon dioxide that is transferred to a non-covered facility and becomes chemically bound - and is thus not released into the atmosphere - should not be considered ""emitted."" The European Court of Justice agreed, invalidating an EU regulation insofar as it systematically included carbon dioxide that becomes so chemically bound in the trading scheme regardless of whether that carbon dioxide is actually emitted into the atmosphere.",Company challenged treatment of carbon dioxide that becomes chemically bound as emitted for purposes of the EU Emissions Trading Scheme.,https://climatecasechart.com/wp-content/uploads/non-us-case-documents/2017/20170119_Case-C-46015_judgment.pdf,https://climatecasechart.com/non-us-case/schaefer-kalk-gmbh-co-kg-v-germany
Grupa Ożarów S.A. v Commission of the European Communities,,Case T-197/07,Application dismissed,"Suits against governments, GHG emissions reduction and trading, EU ETS","European Union, General Court (known as Court of First Instance before 2010)","European Union, Secondary Law, Directives, 2003/87/EC",Applicants in the above actions challenged the Commission of the European Communities’ decision rejecting the Polish Phase II national allocation plan (NAP) for the allocation of GHG emission allowances.  The Court dismissed all actions as inadmissible because the Commission’s decision did not directly and individually affect the Applicants.,Sought annulment of Commission decision rejecting part of the Polish Phase II National Allocation Plan,No case documents are available.,https://climatecasechart.com/non-us-case/grupa-ozarow-sa-v-commission-of-the-european-communities
