label,year,reporter_info,status,case_categories,jurisdictions,principal_laws,summary,at_issue,case_documents,url
Henry v. EPA,2022,2021-HC-DEM-CIV-FDA,Pending,"Suits against governments, Access to information, Suits against governments, Environmental assessment and permitting, Natural resource extraction, Suits against governments, GHG emissions reduction and trading, Other","Guyana, Supreme Court","Guyana, Environmental Protection Regulations 2000, Guyana, Environmental Protection Act","In February 2022, three Guyanese citizens (Sinikka Henry, a lecturer at the University of Guyana, Sherlina Nageer, and Andriska Thorington, students at the University of Guyana) filed suit alleging that the Guyanese Environmental Protection Agency’s decision to grant a modified environmental permit to Esso violated Guyanese environmental laws, where the modified permit allows Esso/ExxonMobil to flare gas in exchange for paying a fee. The plaintiffs seek several Court Orders, including quashing the EPA’s decision to grant the modified permit, and ordering the EPA to issue reports on Esso’s activities, failures to uphold environmental provisions in the permit, and the emissions impacts of Esso’s operations.",Whether Guyana’s Environmental Protection Agency’s issuing of an oil exploration permit violates Guyanese environmental laws.,https://climatecasechart.com/wp-content/uploads/non-us-case-documents/2022/20220121_2021-HC-DEM-CIV-FDA_application.pdf,https://climatecasechart.com/non-us-case/henry-v-epa
Corporation of the Canadian Civil Liberties Association v. Attorney General of Ontario,2020,2020 ONSC 4838,Decided,"Suits against governments, Access to information","Canada, Ontario, Superior Court of Justice","Canada, Canadian Charter of Rights and Freedoms","On September 4, 2020, an Ontario court struck down legislation requiring gas pumps to post notices informing customers that Canada's carbon pricing scheme will ""cost"" them.","Whether local law requiring stickers on gas pumps about ""carbon tax"" violated free speech.",https://climatecasechart.com/wp-content/uploads/non-us-case-documents/2020/20200904_2020-ONSC-4838_opinion.pdf,https://climatecasechart.com/non-us-case/corporation-of-the-canadian-civil-liberties-association-v-attorney-general-of-ontario
(B.U.N.D.) e.V. v. Minister for Commerce and Labor on behalf of Federal Republic of Germany,,[2006] VG 10 A 215.04,Settled,"Suits against governments, Access to information","Germany, Berlin, Administrative Court","Germany, German Access to Environmental Information Act","In the early 2000s, non-profit organisations BUND (Friends of the Earth Germany) and Germanwatch e.V. brought suit against the government in the Administrative Court of Berlin, arguing that citizens have a right to free access to environmental information under the German Access to Environmental Information Act (Umweltinformationsgesetz, UIG), in particular regarding German export credit activities. The export credits in question provided financial support or guarantees for projects in the field of energy production.",Access to information on environmental aspects of German export credit activities.,https://climatecasechart.com/wp-content/uploads/non-us-case-documents/2006/20060203_2006-VG-10-A-215.04_order-1.pdf,https://climatecasechart.com/non-us-case/german-federation-for-environment-and-conservation-bund-ev-v-minister-for-commerce-and-labor-on-behalf-of-federal-republic-of-germany
Flachglas Torgau GmbH v. Federal Republic of Germany,,[2012] 2 CMLR 17 (Grand Chamber),Germany ministry's decision upheld,"Suits against governments, Access to information","European Union, European Court of Justice","European Union, Secondary Law, Directives, 2003/87/EC","Flachglas Torgau requested information about Germany’s allocation of emissions licenses during 2005-2007.  The requested information was contained in internal documents produced by the Ministry for the Environment concerning legislation process for GHG emissions trading.  The Ministry refused this request, citing the confidentiality of proceedings of public authorities.  The 2003 Directive concerning public access to information provides that environmental information is generally considered public; however, the court upheld the Ministry’s decision to deny access to the documents requested.",Flachglas sought access to information re: Germany’s allocation of emissions licenses that the German Government had refused on confidentiality grounds,https://climatecasechart.com/wp-content/uploads/non-us-case-documents/2012/20120214_2012-2-CMLR-17-Grand-Chamber_judgment.pdf,https://climatecasechart.com/non-us-case/flachglas-torgau-gmbh-v-federal-republic-of-germany
Keiller v. Information Commissioner,2011,EA/2011/0152 (First Tier Tribunal),Appeal granted,"Suits against governments, Access to information","United Kingdom, General Regulatory Chamber on Information Rights","United Kingdom, Environmental Information Regulations 2004","The case arose from a request made to the University of East Anglia to produce an email and attachment related to an alleged manipulation of data of the historical climate record--the ""hockey stick"" graph controversy. The University's informal refusal had been upheld by the Information Commissioner, who ruled that the email did not need to be produced as its sender no longer had possession or control of it (he had deleted it as part of routine cleaning out of his inbox and outbox). The Commissioner reached this conclusion even though a copy of the email was stored on the University's email back-up system. The Information Tribunal overturned the decision of the Information Commissioner, determining that if the email still existed then the language of the Regulation required the University to either produce it or issue a valid refusal notice.",Production of email and attachment that discuss climate change data,https://climatecasechart.com/wp-content/uploads/non-us-case-documents/2012/20120118_EA20110152-First-Tier-Tribunal_decision-1.pdf,https://climatecasechart.com/non-us-case/keiller-v-information-commissioner
"Constitutional Compliance proceeding, about Peruvian Climate Change Law",2023,Case N° 4424-2023,Pending,"Suits against governments, Access to information, Suits against governments, Human Rights, Indigenous Groups","Peru, Superior Court of Lima","Peru, DS 013-2019, Peru, Law 30754","Instituto de Defensa Legal del Ambiente y el Desarrollo Sostenible del Perú (IDLADS Peru) initiated legal proceedings on August 14, 2023, urging the Ministry of the Environment (MINAM) to adhere to the Sixteenth Final Complementary Provision of the Regulations of Law No. 30754. This provision mandates that within a maximum of one hundred and eighty (180) business days following its enactment, MINAM, in collaboration with Indigenous or Aboriginal communities, must present to the Executive Branch a blueprint for a guarantee fund, with a special focus on prioritizing the interests of Indigenous or native peoples.",Whether MINAM fulfilled its obligation to collaborate with indigenous or aboriginal communities and submit a design for a guarantee fund to the Executive Branch within the mandated timeframe.,https://climatecasechart.com/wp-content/uploads/non-us-case-documents/2023/20231124_Case-N°-4424-2023_decision-1.pdf,https://climatecasechart.com/non-us-case/constitutional-compliance-proceeding-about-peruvian-climate-change-law
Environment-People-Law v. Cabinet of Ministers of Ukraine and National Agency of Environmental Investments,2009,,Decided,"Suits against governments, Access to information","Ukraine, Lviv, Administrative Court","Ukraine, Constitution of Ukraine, International Law, Aarhus Convention on Access to Environmental Information","In October 2009, the Ukrainian public interest organization Environment-People-Law (EPL) filed suit against the government, seeking to compel the dissemination of information on international greenhouse gas emissions trading.  EPL specifically sought information regarding an agreement between Ukraine and Japan, where the Japanese government agreed to buy 30 million tons of carbon offsets from the Ukrainian government.  EPL contended that both the Aarhus Convention and the Constitution of Ukraine compels public access to the information.",Access to government information on greenhouse gas emissions trading,"https://climatecasechart.com/wp-content/uploads/non-us-case-documents/2010/20100617_2824_judgment.pdf, https://climatecasechart.com/wp-content/uploads/non-us-case-documents/2014/20140626_2824_decision.pdf",https://climatecasechart.com/non-us-case/environment-people-law-v-cabinet-of-ministers-of-ukraine-and-national-agency-of-environmental-investments
New Zealand Climate Science Education Trust v. National Institute of Water and Atmospheric Research Ltd.,,[2012] NZHC  2297; [2013] NZCA 555,Dismissed,"Suits against governments, Access to information","New Zealand, High Court of New Zealand, New Zealand, Court of Appeal","New Zealand, Crown Research Institutes Act 1992","The New Zealand Climate Science Education Trust (Trust) sought judicial review of climate data published by a government owned research institute. The Trust contended that the institute had employed the wrong methodology to adjust historic temperature data. The High Court held that courts should give considerable deference to specialist agencies in relation to their areas of expertise, and that on the facts of the case the research institute had used credible scientific methods to carry out its work and there was no basis for judicial review. The court ordered the Trust to pay close to $90,000 in court fees for its challenge.",Judicial review application in relation to publication of climate data by a government owned research institute,"https://climatecasechart.com/wp-content/uploads/non-us-case-documents/2012/20120907_2012-NZHC-2297-2013-NZCA-555_decision.pdf, https://climatecasechart.com/wp-content/uploads/non-us-case-documents/2013/20131111_2012-NZHC-2297-2013-NZCA-555_judgment.pdf",https://climatecasechart.com/non-us-case/new-zealand-climate-science-education-trust-v-national-institute-of-water-and-atmospheric-research-ltd
Sustaining the Wild Coast NPC and Others  v. Minister of Mineral Resources and Energy and Others,2021,Case No. 3491/2021,Decided,"Suits against governments, Environmental assessment and permitting, Natural resource extraction, Suits against governments, Access to information, Suits against corporations, individuals, Corporations, Environmental assessment and permitting","South Africa, High Court","South Africa, Mineral and Petroleum Resources Development Act (MPRDA) Act 28 of 2002, South Africa, Constitution, South Africa, National Environmental Management Act 107 of 1998","On November 29, 2021, four environmental and human rights organizations (Sustaining the Wild Coast NPC, Mashona Dlamini, Dwesa-Cwebe Communal Property Association and four others) filed an application in the High Court of South Africa (Eastern Cape Division, Grahamstown) against respondents Minister of Mineral Resources and Energy, Minister of Environment, Forestry and Fisheries, Shell and Impact Africa. The application sought an interdict prohibiting the respondents from proceeding with the seismic survey off the eastern coast of South Africa from 2021-2022. The seismic survey pursued by Shell and Impact Africa followed an exploration right granted on April 29, 2014. It aimed at providing imaging of the subsurface to determine whether there might be energy reserves below the sea floor. To succeed in their application, the applicants must establish: (i) at least a prima facie right (ii) a reasonable apprehension of irreparable and imminent harm of the right if the interim interdict is not granted; (iii) balance of convenience; and (iv) lack of an alternative satisfactory remedy.","Whether an oil exploration focused seismic survey challenges constitutional rights regarding consultation, conservation, cultural and spiritual livelihood while highlighting also negatively impacting climate change.","https://climatecasechart.com/wp-content/uploads/non-us-case-documents/2021/20211207_Case-No.-34912021_application-1.pdf, https://climatecasechart.com/wp-content/uploads/non-us-case-documents/2021/20211228_Case-No.-34912021_decision-1.pdf, https://climatecasechart.com/wp-content/uploads/non-us-case-documents/2022/20220217_Case-No.-34912021_decision-1.pdf, https://climatecasechart.com/wp-content/uploads/non-us-case-documents/2022/20220901_Case-No.-34912021_judgment-1.pdf",https://climatecasechart.com/non-us-case/sustaining-the-wild-coast-npc-and-others-v-minister-of-mineral-resources-and-energy-and-others
Miersch/Maxeiner v. Germany,2013,1 A 304/13 HAL,Dismissed,"Suits against governments, Access to information","Germany, Halle, Administrative Court","Germany, Law Establishing Federal Environment Ministry, Germany, Personality rights","In August 2013, two journalists who had written various articles across different outlets questioning prevailing theories on climate change, brought suit in the Administrative Court of Halle. They requested the German Environment Agency (Umweltbundesamt) to cease and desist from publishing certain statements in a brochure, which referred to the journalists by name and identified them – amongst others – as “climate-change sceptics”. The journalists based their claim on a breach of their rights to privacy enshrined in Article 2 of the Basic Law (Germany’s constitution).",Challenge to Environment Agency's public characterization of two journalists as “climate change skeptics.”,"https://climatecasechart.com/wp-content/uploads/non-us-case-documents/2015/20151118_1-A-30413-HAL_press-release.pdf, https://climatecasechart.com/wp-content/uploads/non-us-case-documents/2017/20170126_1-A-30413-HAL_order.pdf",https://climatecasechart.com/non-us-case/mierschmaxeiner-v-federal-ministry-for-environment
