http://www.w3.org/2000/01/rdf-schema#label,https://www.michaeldebellis.com/climate_obstruction/year,https://www.michaeldebellis.com/climate_obstruction/reporter_info,https://www.michaeldebellis.com/climate_obstruction/status,https://www.michaeldebellis.com/climate_obstruction/case_categories,jurisdictions,principal_laws,summary,at_issue,case_documents,url
Minister of Environment v. PT Selatnasik Indokwarsa and PT Simpang Pesak Indokwarsa,2009,Decision No. 105/Pdt/G/2009/PN.JKT.UT,Decided,"Suits against corporations, individuals, Corporations, Climate damage","Indonesia, North Jakarta District Court","Indonesia, Environmental Law No.32 of 2009","On April 3, 2009, the Indonesian Ministry of Environment (MoE) filed a tort-based lawsuit against two corporations, PT Selatnasik Indokwarsa and PT Simpang Pesak, for damage caused by illegal mining activities. These activities include clearing of protected forests for road access to mining locations, conducting open-pit mining, building infrastructure within a natural reserve area, and constructing an illegal port by landfilling the coastal area around 1.7 km seaward. The MoE sought compensation for the climate damage caused, i.e., the GHG emissions from the destruction of forest areas, and asked for restoration costs amounting to IDR 11.8 billion (approximately US$824,000).",Restoration for climate damage from illegal mining activities and deforestation.,"https://climatecasechart.com/wp-content/uploads/non-us-case-documents/2013/20130328_Decision-No.-105PdtG2009PN.JKT_.UT_decision-1.pdf, https://climatecasechart.com/wp-content/uploads/non-us-case-documents/2014/20140524_Decision-No.-105PdtG2009PN.JKT_.UT_decision-1.pdf, https://climatecasechart.com/wp-content/uploads/non-us-case-documents/2010/20100302_Decision-No.-105PdtG2009PN.JKT_.UT_decision.pdf",https://climatecasechart.com/non-us-case/minister-of-environment-v-pt-selatnasik-indokwarsa-and-pt-simpang-pesak-indokwarsa/
Pirá Paraná Indigenous Council and Association of Indigenous Traditional Authorities of river Pirá Paraná “ACAIPI” v. Ministry of Environment and Sustainable Development and others,2022,T-9.312.858 (also 11001 3109 026 2022 00217 02),Pending,"Suits against governments, Human Rights, Right to a healthy environment","Colombia, Constitutional Court","Colombia, Law 1753 of 2015, Colombia, Resolution 1447 of 2018, Colombia, Constitution","On July 15, 2022, the Pirá Paraná Indigenous Council and the Association of Indigenous Traditional Authorities of river Pirá Paraná “ACAIPI” filed a tutela arguing the violation of their fundamental and human rights to self-determination, cultural integrity, autonomous governing and territory. Defendants in this case are the private companies that are implementing REDD+ projects in their territory and the environmental authorities in charge of authorizing and monitoring the projects.","Whether defendants violated the plaintiffs’ human rights to self-determination, cultural integrity, autonomous governing and territory by approving and implementing the REDD+ projects in their territories.","https://climatecasechart.com/wp-content/uploads/non-us-case-documents/2022/20220715_T-9.312.858-also-11001-3109-026-2022-00217-02_petition-1.pdf, https://climatecasechart.com/wp-content/uploads/non-us-case-documents/2022/20220926_T-9.312.858-also-11001-3109-026-2022-00217-02_ruling-1.pdf, https://climatecasechart.com/wp-content/uploads/non-us-case-documents/2022/20221021_T-9.312.858-also-11001-3109-026-2022-00217-02_judgment-1.pdf, https://climatecasechart.com/wp-content/uploads/non-us-case-documents/2024/20240625_T-9.312.858-also-11001-3109-026-2022-00217-02_judgment.pdf",https://climatecasechart.com/non-us-case/1pira-parana-indigenous-council-and-association-of-indigenous-traditional-authorities-of-river-pira-parana-acaipi-v-ministry-of-environment-and-sustainable-development-and-others/
Australian Competition and Consumer Commission v. De Longhi Australia Pty. Ltd.,2008,,Decided,,"Australia, Federal Court of Australia","Australia, Trade Practices Act 1974 (Federal) (known as Competition and Consumer Act 2010 since 2011)",The Australian Competition and Consumer Commission challenged De Longhi Australia Pty Ltd for falsely claiming that the refrigerant gas R290 used in its portable air conditioners was “environmentally friendly.”  De Longhi provided a court-enforceable undertaking that it would modify its advertising to avoid unqualified claims.,Challenge to corporation for false green advertising.,No case documents are available.,https://climatecasechart.com/non-us-case/australian-competition-and-consumer-commission-v-de-longhi-australia-pty-ltd/
Deutsche Umwelthilfe v. HelloFresh Deutschland,2023,102 O 15/23,Decided,"Suits against corporations, individuals, Corporations, Misleading advertising",,"Germany, The Act against Unfair Competition","The lawsuit was directed against the company ""HelloFresh Deutschland SE & Co. KG."" The company was accused of making misleading advertising claims that suggest products, companies, or services are ""climate neutral."" It concerned the following statements:","Whether advertising claims around ""climate neutrality"" are misleading and in breach of the German Act against Unfair Competition",No case documents are available.,https://climatecasechart.com/non-us-case/deutsche-umwelthilfe-v-hellofresh-deutschland/
Public Defender’s Office of the State of Pará vs. Associação dos Ribeirinhos e Moradores and others (Project 2620 carbon credits and “forest carbon grabbing”),2023,Public Civil Action (ACP) 0806464-92.2023.8.14.0015,Pending,"Suits against corporations, individuals, Corporations, Carbon credits, Suits against corporations, individuals, Others, Suits against governments, Environmental assessment and permitting, Other projects","Brazil, Pará, Pará State Court","Brazil, ILO Convention 169 (enacted by Decree 5051/2004, Brazil, UN Framework Convention on Climate Change – UNFCCC (enacted by Federal Decree 2652/1998), Brazil, Forest Code (Law 12 651/2012)","On July 19, 2023, the Public Defender's Office of the State of Pará (DPE-PA) filed a Public Civil Action (ACP) with a request for injunctive relief against Associação dos Ribeirinhos e Moradores, Sindicato dos Produtores Rurais de Portel, Amigos dos Ribeirinhos Assessoria Ambiental Eireli, Brazil Agfor LLC and the Municipality of Portel over a project that generates illegal carbon credits sold on the voluntary market. This ACP is part of a set of four lawsuits filed by the DPE-PA on the same grounds, but questioning different carbon credit projects. The Ribeirinho REDD+ Project (Project 2620), which is the subject of the lawsuit, overlaps the areas of five State Agro-Extractivist Settlement Projects (PEAEX). These PEAEX are public lands, whose real right of use is granted to traditional communities located in the municipality of Portel, in the state of Pará, which did not participate in the contested project. Project 2620 was presented to an international certifying company in 2017, but has not yet been registered, to generate REDD+ assets (credits generated by avoided deforestation, sustainable management and an increase in forest carbon stocks) for a period of thirty years. The companies and association are being sued for being responsible, developers of the project or alleged owners of the rural properties where it is located. The DPE-PA alleges irregularities in the property registrations that make up the project, and that the project does not have authorisation from the state of Pará, which characterises the grabbing of public land. In addition, the mayor of Portel issued a Public Utility Decree authorising its operation, which the DPE-PA argues is unconstitutional. It is emphasised that no prior technical study was carried out for the project. The DPE-PA argues that the defendants acted in violation of the right to traditional territory, the right to prior, free and informed consultation of traditional communities, did not comply with federal legislation on climate change, payments for environmental services and public forest concessions and did not benefit the communities directly affected by the project. It argues that the defendants' behaviour entails the duty to compensate for collective moral damage. As an injunction, the plaintiff requests (i) recognition of the possession of the lands by the traditional communities; (ii) suspension of Project 2620 and an order that the defendants refrain from entering the PEAEX. On the merits, the plaintiff requests (i) confirmation of the requests for an injunction; (ii) recognition of the right to the traditional territory; (iii) the annulment of Project 2620 and the legal transactions derived from it; (iv) an order to prohibit the defendants from entering the territories; (v) a declaration that the Public Utility Decree issued by the Municipality of Portel is null and void; (vi) an order to pay collective moral damages in the amount of R$ 5,000,000.00 to be paid into the Eastern Amazon Fund in favour of the communities of the extractivist territories of Portel.",Whether there were established illegal carbon credit projects in extractivist lands areas in the Pará State.,https://climatecasechart.com/wp-content/uploads/non-us-case-documents/2023/20230719_Public-Civil-Action-ACP-0806464-92.2023.8.14.0015_petition-1.pdf,https://climatecasechart.com/non-us-case/public-defenders-office-of-the-state-of-para-vs-associacao-dos-ribeirinhos-e-moradores-and-others-project-2620-carbon-credits-and-forest-carbon-grabbing/
Royal Forest and Bird Protection Society of New Zealand Incorporated v. Buller Coal Ltd.,,[2012] NZHC 2156,Dismissed,,"New Zealand, High Court of New Zealand","New Zealand, Resource Management Act 1991","Buller Coal received a permit to conduct coal mining activities at the Escarpment Mine in New Zealand. The appellant challenged the environment court’s decision in favor of Buller, and raised two questions under the country’s 1991 Resource Management Act. The first: Under section 104(1) of the Act, does the decision maker have to consider the contribution that the subsequent emissions will make towards climate change. The second: Under section 7(i) of the Act, must the decision-maker must give particular regard to the effects of climate change, including the contribution that the subsequent emissions will have towards the effects of climate change. The court affirmed the decision of the environment court and dismissed the appeal. The court surveyed domestic and international considerations and opted for a narrow reading of the Act, stating that a full consideration of climate effects in matters like these must await the introduction of a national environmental standard in New Zealand.",Challenged court’s decision to grant permit for coal mining,https://climatecasechart.com/wp-content/uploads/non-us-case-documents/2012/20120824_2012-NZHC-2156_decision-1.pdf,https://climatecasechart.com/non-us-case/royal-forest-and-bird-protection-society-of-new-zealand-incorporated-v-buller-coal-limited/
Youth Climate Case Japan for Tomorrow,2024,,Pending,"Suits against corporations, individuals, Corporations, GHG emissions reduction","Japan, Nagoya District Court","Japan, Civil Code, Article 709 (Tort), Japan, Civil Code, Article 719 (Joint Tort)","16 young people from Japan nationwide, from Hokkaido to Kyushu, filed a case in the Nagoya District Court against 10 thermal power companies, including JERA Corporation, asking for an injunction against CO2 emissions based on the scientific standards. To ensure the plaintiffs and young people across Japan live tomorrow and, in the future, the defendants, the major Japanese electric power companies must decarbonize by the 2030s at least to limit the rise in average global temperatures to 1.5°C above pre-industrial levels. This case demands the defendants’ implementation of the emission reductions required by science. As we enter the era of ""global boiling,"" temperature rises are approaching 1.5°C worldwide, including Japan. We have already experienced extreme heat of over 40°C.",Whether the power company's failure to make appropriate efforts to reduce CO₂ emissions constitute a violation of the plaintiffs' rights,"https://climatecasechart.com/wp-content/uploads/non-us-case-documents/2024/20240806_77616_complaint.pdf, https://climatecasechart.com/wp-content/uploads/non-us-case-documents/2024/20240806_77616_press-release-1.docx",https://climatecasechart.com/non-us-case/youth-climate-case-japan-for-tomorrow/
Ministry of Environment and Forestry v. PT Jatim Jaya Perkasa,2015,Decision No. 108/Pdt.G/2015/PN.Jkt.Utr.,Decided,"Suits against corporations, individuals, Corporations, Climate damage","Indonesia, North Jakarta District Court","Indonesia, Environmental Law No.32 of 2009","On March 23, 2015, the Indonesian Ministry of Environment and Forestry (the MoEF) sued a company of palm oil plantation, namely PT Jatim Jaya Perkasa, for fires occurring covering an area of 1000 hectares. the MoEF argued that the defendant had failed to comply with obligations of having preventive and fires control facilities within its controlled area. Moreover, the plaintiff also argued that the defendant had intentionally set fires on its land for the purpose of making it as the new crop field. Therefore, the plaintiff asked the court to declare that the defendant had conducted an unlawful act and to pay compensation of IDR 371.1 billion for restoration cost and damages. For climate-related damages, the MoEF requested compensation for carbon release and losses of carbon sinks. The MoEF ask the the defendant to pay for compensation of IDR 810 million (9000 tC released) and IDR 283.5 million (3150 tCO2 reduced).",Restoration for climate damage caused by palm plantation land clearing.,"https://climatecasechart.com/wp-content/uploads/non-us-case-documents/2016/20160718_Decision-No.-108Pdt.G2015PN.Jkt_.Utr_._decision-1.pdf, https://climatecasechart.com/wp-content/uploads/non-us-case-documents/2016/20160615_Decision-No.-108Pdt.G2015PN.Jkt_.Utr_._decision-1.pdf, https://climatecasechart.com/wp-content/uploads/non-us-case-documents/2017/20170809_Decision-No.-108Pdt.G2015PN.Jkt_.Utr_._decision-1.pdf",https://climatecasechart.com/non-us-case/ministry-of-environment-and-forestry-v-pt-jatim-jaya-perkasa/
Australian Competition and Consumer Commission v. GM Holden Ltd.,2008,[2008] FCA 1428,Decided,,"Australia, Federal Court of Australia","Australia, Trade Practices Act 1974 (Federal) (known as Competition and Consumer Act 2010 since 2011)","The Australian Competition and Consumer Commission (ACCC) filed a suit against GM Holden Ltd for wrongly advertising that Saab vehicles provided “carbon neutral motoring.”  GM Holden had claimed that Saab would plant 17 native trees for every Saab vehicle purchased to offset the carbon emissions.  ACCC filed its claim on the basis that GM Holden had not shown any change in the way it manufactured Saab vehicles subsequent to its carbon neutral campaign and that GM Holden’s claim that 17 native trees would offset the carbon emissions was not proven and was misleading.  The Federal Court declared that GM Holden had breached sections 52 and 53(c) of the Trade Practices Act 1974.  GM Holden agreed to advise its marketing staff to avoid “misleading and deceptive” marketing tactics and to plant 12,500 native trees to offset all the carbon emissions that would occur by Saab vehicles sold during the marketing campaign.",Suit against corporation for false green advertising.,https://climatecasechart.com/wp-content/uploads/non-us-case-documents/2008/20080918_2008-FCA-1428_opinion.pdf,https://climatecasechart.com/non-us-case/australian-competition-and-consumer-commission-v-gm-holden-ltd/
Italian Competition Authority Ruling Eni’s Diesel+ Advertising Campaign,2019,,Decided,"Suits against corporations, individuals, Corporations, Misleading advertising","Italy, Regional Administrative Court of Lazio",,"On December 20, 2019, the Italian Competition Authority (AGCM) imposed a five million euro fine—the maximum allowable penalty—on ENI, a major Italian oil and gas company, for engaging in ""unfair commercial practices regarding environmental claims."" The AGCM found that ENI’s advertising for its Diesel+ fuel misled consumers by associating the product with “green” attributes that were not fully representative of the fuel’s environmental impact. Specifically, the AGCM held that environmental claims in advertising should (i) clearly and accurately reflect the product's environmental benefits, (ii) be supported by scientific evidence, and (iii) be conveyed without misleading omissions.",Whether Eni’s Diesel+ advertising campaign constituted an unfair commercial practice by misrepresenting the “green” benefits of its Diesel+ fuel.,https://climatecasechart.com/wp-content/uploads/non-us-case-documents/2024/20240423_15252_judgment.pdf,https://climatecasechart.com/non-us-case/italian-competition-authority-ruling-enis-diesel-advertising-campaign/
